"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,1,0,20210505,20210530
2,1,1,1,1,1,0,0,20210505,20210530
3,0,0,0,0,0,1,1,20210505,20210530
4,1,1,1,1,1,1,1,20210505,20210530
5,0,0,0,0,0,1,0,20210505,20210530
6,0,0,0,0,0,0,1,20210505,20210530
7,1,1,1,1,1,0,1,20210505,20210530
8,1,1,1,1,1,1,1,20210505,20210530
9,1,1,1,1,1,1,0,20210505,20210530
10,1,1,1,1,1,0,0,20210505,20210530
11,1,1,1,0,1,0,0,20210505,20210530
12,0,1,0,0,0,0,0,20210505,20210530
13,1,0,1,0,1,0,0,20210505,20210530
14,0,0,0,0,0,0,0,20210505,20210530
15,1,1,1,1,1,0,0,20210505,20210530
16,0,1,0,1,0,0,0,20210505,20210530
17,0,0,0,1,0,0,0,20210505,20210530
18,1,1,1,0,1,0,0,20210505,20210530
19,1,0,1,0,1,0,0,20210505,20210530
20,0,1,0,1,0,0,0,20210505,20210530
21,0,0,0,0,0,0,0,20210505,20210530
22,0,0,0,0,0,0,0,20210505,20210530
23,0,0,0,0,0,0,0,20210505,20210530
24,0,0,0,0,1,0,0,20210505,20210530
25,0,0,0,0,0,0,0,20210505,20210530
26,1,1,1,0,1,0,0,20210505,20210530
27,0,0,0,1,1,0,0,20210505,20210530
28,0,0,0,0,1,0,0,20210505,20210530
29,1,0,1,0,0,0,0,20210505,20210530
30,0,0,0,0,1,0,0,20210505,20210530
31,0,0,0,0,0,0,0,20210505,20210530
32,1,0,1,0,0,0,0,20210505,20210530
33,0,0,0,0,0,0,0,20210505,20210530
34,0,0,0,0,0,1,0,20210505,20210530
35,0,1,0,0,0,0,0,20210505,20210530
36,0,0,0,0,0,1,0,20210505,20210530
37,0,0,0,0,0,1,1,20210505,20210530
38,0,0,0,0,0,0,0,20210505,20210530
39,0,0,0,0,0,1,0,20210505,20210530
40,0,0,1,0,0,0,0,20210505,20210530
41,1,1,0,0,1,0,0,20210505,20210530
42,1,1,1,1,0,0,0,20210505,20210530
43,0,1,0,1,1,0,0,20210505,20210530
44,1,0,1,0,0,0,0,20210505,20210530
45,1,1,1,0,0,0,0,20210505,20210530
46,0,0,0,0,0,0,0,20210505,20210530
47,1,0,0,0,0,0,0,20210505,20210530
48,0,1,1,1,1,0,0,20210505,20210530
